kk_id,kk_name,year,f_comm,teainc,lteainc,f_prot1885,provinzkey,f_prot,f_rw,f_young,f_over60,f_fem,f_ortsgeb,f_urban,sample_bal,daylab_urb,ldaylab_urb
12002,Bremerhaven,1886,0.1470755,1334.147,7.196047,0.9566793,,,,,,,,,1,,
12002,Bremerhaven,1891,0.1219818,1293.059,7.164766,0.9566793,,,,,,,,,1,,
12002,Bremerhaven,1896,0.0986933,1613.297,7.386035,0.9566793,,,,,,,,,1,,
12002,Bremerhaven,1901,0.084397,2017.479,7.609604,0.9566793,,,,,,,,,1,,
12002,Bremerhaven,1906,0.0722361,2085.55,7.642788,0.9566793,,,,,,,,,1,,
12002,Bremerhaven,1911,0.0695719,2059.83,7.630379,0.9566793,,,,,,,,,1,,
13002,Alfeld,1886,,1121.991,7.02286,0.922829,,,,,,,,,0,,
13002,Alfeld,1891,0.6103421,1169.641,7.064453,0.922829,,,,,,,,,0,,
13002,Alfeld,1896,,1281.683,7.15593,0.922829,,,,,,,,,0,,
13002,Alfeld,1901,,1853.174,7.524655,0.922829,,,,,,,,,0,,
13002,Alfeld,1906,,1891.289,7.545014,0.922829,,,,,,,,,0,,
13002,Alfeld,1911,,1879.274,7.538641,0.922829,,,,,,,,,0,,
13003,Altes Land,1886,0.4705025,1457.998,7.28482,0.9928426,,,,,,,,,1,,
13003,Altes Land,1891,0.4762514,1436.633,7.270057,0.9928426,,,,,,,,,1,,
13003,Altes Land,1896,0.4479904,1530.068,7.333067,0.9928426,,,,,,,,,1,,
13003,Altes Land,1901,0.448554,1952.417,7.576823,0.9928426,,,,,,,,,1,,
13003,Altes Land,1906,0.4261103,1936.459,7.568616,0.9928426,,,,,,,,,1,,
13003,Altes Land,1911,0.388353,1926.274,7.563343,0.9928426,,,,,,,,,1,,
13004,Aurich,1886,0.1352991,1175.694,7.069614,0.971659,8,0.9774706,0.9295643,0.2494323,0.097673,0.5190778,0.6147749,0.0971861,1,,
13004,Aurich,1891,0.1503475,1247.721,7.129074,0.971659,8,,,,,,,,1,1.825,0.60158
13004,Aurich,1896,0.1639724,1288.347,7.161115,0.971659,8,,,,,,,,1,,
13004,Aurich,1901,0.1734813,1543.243,7.341641,0.971659,8,,,,,,,,1,1.825,0.60158
13004,Aurich,1906,0.1685222,1609.487,7.383671,0.971659,8,,,,,,,,1,,
13004,Aurich,1911,0.1554689,1641.362,7.403282,0.971659,8,,,,,,,,1,,
13005,Badbergen,1886,0.6284634,1185.348,7.077792,0.5450311,8,0.5387744,0.964473,0.2468256,0.0951338,0.504985,0.6504891,0.1186983,1,,
13005,Badbergen,1891,0.622858,1214.235,7.101869,0.5450311,8,,,,,,,,1,1.6,0.4700036
13005,Badbergen,1896,0.5912904,1393.204,7.239361,0.5450311,8,,,,,,,,1,,
13005,Badbergen,1901,0.5659158,1720.61,7.450434,0.5450311,8,,,,,,,,1,1.73,0.5481214
13005,Badbergen,1906,0.5293831,1796.37,7.493523,0.5450311,8,,,,,,,,1,,
13005,Badbergen,1911,0.4713059,1930.848,7.565714,0.5450311,8,,,,,,,,1,,
13009,Bergen-Soltau,1886,1.482522,1139.717,7.038536,0.9953494,,,,,,,,,1,,
13009,Bergen-Soltau,1891,1.422935,1142.965,7.041381,0.9953494,,,,,,,,,1,,
13009,Bergen-Soltau,1896,1.428889,1278.312,7.153296,0.9953494,,,,,,,,,1,,
13009,Bergen-Soltau,1901,1.395199,1574.516,7.361703,0.9953494,,,,,,,,,1,,
13009,Bergen-Soltau,1906,1.352777,1804.957,7.498292,0.9953494,,,,,,,,,1,,
13009,Bergen-Soltau,1911,1.286142,1812.667,7.502554,0.9953494,,,,,,,,,1,,
13012,Bleckede,1886,0.7081806,1147.913,7.045701,0.9939623,,,,,,,,,0,,
13012,Bleckede,1891,0.7419726,1223.826,7.109737,0.9939623,,,,,,,,,0,,
13012,Bleckede,1896,,1367.625,7.220831,0.9939623,,,,,,,,,0,,
13012,Bleckede,1901,0.7516915,1610.262,7.384152,0.9939623,,,,,,,,,0,,
13012,Bleckede,1906,0.7672565,1735.118,7.45883,0.9939623,,,,,,,,,0,,
13012,Bleckede,1911,0.7496822,1733.986,7.458178,0.9939623,,,,,,,,,0,,
13016,Bremervoerde,1886,0.7577396,1040.619,6.947571,0.9933771,,,,,,,,,1,,
13016,Bremervoerde,1891,0.6672416,1032.762,6.939992,0.9933771,,,,,,,,,1,,
13016,Bremervoerde,1896,0.7857643,1192.281,7.083624,0.9933771,,,,,,,,,1,,
13016,Bremervoerde,1901,0.7939027,1492.087,7.307931,0.9933771,,,,,,,,,1,,
13016,Bremervoerde,1906,0.8892276,1459.676,7.28597,0.9933771,,,,,,,,,1,,
13016,Bremervoerde,1911,0.9118981,1633.055,7.398208,0.9933771,,,,,,,,,1,,
13017,Buer,1886,,1262.236,7.14064,0.7488551,8,0.5141492,0.9679787,0.2561804,0.0832421,0.5027036,0.6153506,0.0583644,0,,
13017,Buer,1891,0.7751064,1276.875,7.152171,0.7488551,8,,,,,,,,0,1.575,0.4542553
13017,Buer,1896,0.7998954,1485.245,7.303335,0.7488551,8,,,,,,,,0,,
13017,Buer,1901,0.7728403,1812.535,7.502481,0.7488551,8,,,,,,,,0,1.85,0.6151856
13017,Buer,1906,0.7664589,1860.75,7.528735,0.7488551,8,,,,,,,,0,,
13017,Buer,1911,0.7579698,1880.629,7.539361,0.7488551,8,,,,,,,,0,,
13018,Burgdorf,1886,0.791774,1109.492,7.011657,0.9789279,,,,,,,,,1,,
13018,Burgdorf,1891,0.8243008,1231.575,7.116049,0.9789279,,,,,,,,,1,,
13018,Burgdorf,1896,0.7694275,1453.618,7.281811,0.9789279,,,,,,,,,1,,
13018,Burgdorf,1901,0.7196804,1819.422,7.506274,0.9789279,,,,,,,,,1,,
13018,Burgdorf,1906,0.6796203,1903.527,7.551464,0.9789279,,,,,,,,,1,,
13018,Burgdorf,1911,0.6100147,1721.682,7.451057,0.9789279,,,,,,,,,1,,
13020,Celle,1886,0.5487524,1087.457,6.991597,0.9643294,,,,,,,,,0,,
13020,Celle,1891,,1272.134,7.148451,0.9643294,,,,,,,,,0,,
13020,Celle,1896,0.5947565,1518.647,7.325575,0.9643294,,,,,,,,,0,,
13020,Celle,1901,0.6049692,1816,7.504392,0.9643294,,,,,,,,,0,,
13020,Celle,1906,0.5775396,1856.639,7.526524,0.9643294,,,,,,,,,0,,
13020,Celle,1911,0.4939703,1856.271,7.526325,0.9643294,,,,,,,,,0,,
13022,Clausthal-Zellerfeld,1886,0.1218835,1546.118,7.343503,0.9865686,8,0.9946697,0.9244066,0.2328317,0.0836506,0.5142562,0.7528777,0.6264675,1,,
13022,Clausthal-Zellerfeld,1891,0.1388827,1485.097,7.303235,0.9865686,8,,,,,,,,1,1.45,0.3715636
13022,Clausthal-Zellerfeld,1896,0.1548055,1604.435,7.380527,0.9865686,8,,,,,,,,1,,
13022,Clausthal-Zellerfeld,1901,0.1562565,2140.339,7.668719,0.9865686,8,,,,,,,,1,1.7,0.5306283
13022,Clausthal-Zellerfeld,1906,0.1426115,2161.903,7.678744,0.9865686,8,,,,,,,,1,,
13022,Clausthal-Zellerfeld,1911,0.1314394,2128.766,7.663298,0.9865686,8,,,,,,,,1,,
13024,Dannenberg,1886,0.6640962,1229.715,7.114538,0.9935564,8,0.9935521,0.9211941,0.1963681,0.1006207,0.5097082,0.5435503,0.1063167,1,,
13024,Dannenberg,1891,0.670558,1199.861,7.089961,0.9935564,8,,,,,,,,1,1.725,0.5452271
13024,Dannenberg,1896,0.7047206,1458.975,7.28549,0.9935564,8,,,,,,,,1,,
13024,Dannenberg,1901,0.6629211,1645.317,7.405688,0.9935564,8,,,,,,,,1,1.775,0.5738005
13024,Dannenberg,1906,0.6836935,1706.93,7.442452,0.9935564,8,,,,,,,,1,,
13024,Dannenberg,1911,0.6632745,1613.71,7.386292,0.9935564,8,,,,,,,,1,,
13025,Diepholz,1886,0.8795679,1052.259,6.958694,0.9888495,8,0.9224964,0.970849,0.2429354,0.0843746,0.502483,0.6698065,0.2106373,1,,
13025,Diepholz,1891,0.868053,1138.258,7.037254,0.9888495,8,,,,,,,,1,2,0.6931472
13025,Diepholz,1896,0.8566703,1269.351,7.146261,0.9888495,8,,,,,,,,1,,
13025,Diepholz,1901,0.8456703,1517.759,7.32499,0.9888495,8,,,,,,,,1,2,0.6931472
13025,Diepholz,1906,0.8235998,1491.821,7.307753,0.9888495,8,,,,,,,,1,,
13025,Diepholz,1911,0.7656388,1611.857,7.385142,0.9888495,8,,,,,,,,1,,
13027,Einbeck,1886,0.431951,1172.65,7.067021,0.9655228,8,0.9684441,0.8740028,0.2444568,0.0865789,0.5097547,0.7179177,0.2692153,1,,
13027,Einbeck,1891,0.4644646,1229.778,7.114589,0.9655228,8,,,,,,,,1,1.56,0.4446858
13027,Einbeck,1896,0.4749497,1317.789,7.183711,0.9655228,8,,,,,,,,1,,
13027,Einbeck,1901,0.4632592,1864.644,7.530826,0.9655228,8,,,,,,,,1,1.776667,0.5747389
13027,Einbeck,1906,0.42232,1932.985,7.566821,0.9655228,8,,,,,,,,1,,
13027,Einbeck,1911,0.4060271,1825.32,7.509511,0.9655228,8,,,,,,,,1,,
13028,Elze,1886,,1175.286,7.069267,0.9249092,,,,,,,,,0,,
13028,Elze,1891,0.5436541,1304.697,7.173726,0.9249092,,,,,,,,,0,,
13028,Elze,1896,,1370,7.222566,0.9249092,,,,,,,,,0,,
13028,Elze,1901,0.5730441,1867.806,7.53252,0.9249092,,,,,,,,,0,,
13028,Elze,1906,0.5348724,1968.939,7.58525,0.9249092,,,,,,,,,0,,
13028,Elze,1911,0.4845597,1945.253,7.573147,0.9249092,,,,,,,,,0,,
13029,Emden,1886,0.11607,1662.765,7.416237,0.9316869,,,,,,,,,1,,
13029,Emden,1891,0.1229728,1610.451,7.384269,0.9316869,,,,,,,,,1,,
13029,Emden,1896,0.122309,1679.966,7.426529,0.9316869,,,,,,,,,1,,
13029,Emden,1901,0.1009116,2011.276,7.606524,0.9316869,,,,,,,,,1,,
13029,Emden,1906,0.094934,2111,7.654917,0.9316869,,,,,,,,,1,,
13029,Emden,1911,0.0887775,2005.097,7.603447,0.9316869,,,,,,,,,1,,
13033,Georgmarienhuette,1886,0.6852016,1142.565,7.041031,0.1899951,,,,,,,,,1,,
13033,Georgmarienhuette,1891,0.6789606,1180.531,7.07372,0.1899951,,,,,,,,,1,,
13033,Georgmarienhuette,1896,0.7156624,1327.133,7.190776,0.1899951,,,,,,,,,1,,
13033,Georgmarienhuette,1901,0.6670569,1745.207,7.464628,0.1899951,,,,,,,,,1,,
13033,Georgmarienhuette,1906,0.6630715,1772.077,7.479908,0.1899951,,,,,,,,,1,,
13033,Georgmarienhuette,1911,0.6456661,1846.856,7.52124,0.1899951,,,,,,,,,1,,
13035,Goslar,1886,,1240.125,7.122967,0.8711365,8,0.8778235,0.8926686,0.2312688,0.0894314,0.5093132,0.6173199,0.205386,0,,
